Observación;MUESTRA;PROYECTO;TIPO PELIGRO;PELIGRO ESPECIFICO;LONGITUD;LATITUD
948;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;Flujo de Lodo;-79.53161628;-7.308292297
949;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-79.54510709;-7.312360155
950;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión Marina;-79.58881406;-7.410716767
951;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;Flujo de Lodo;-79.59795942;-7.220657561
952;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.52313217;-7.235559439
953;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.50545354;-7.247293672
954;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;Flujo de Lodo;-79.56948908;-7.388734668
955;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.39541066;-7.134268066
956;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.65830032;-7.255615069
957;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.74625953;-6.982410771
958;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Reptacion;Reptación de Suelo;-78.64918747;-6.94713837
959;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.8445406;-6.999168955
960;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.79204407;-6.961384793
961;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.78294479;-6.943715456
962;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Arenamiento;-79.50576315;-7.436669729
963;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Caída de Roca;-78.82826136;-7.05240065
964;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.57465249;-7.275294477
965;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.63443299;-7.18052716
966;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.06489502;-7.243959738
967;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-79.04193184;-7.025500018
968;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión Fluvial;-79.5331668;-7.176079924
969;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión de Ladera;-78.72562281;-7.223832946
970;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión de Ladera;-78.83726041;-7.255110677
971;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Mov. Complejo;;-78.77631127;-7.315650242
972;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.74895183;-6.986943209
973;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.1111452;-7.100237867
974;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.18407139;-7.239270406
975;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.64672201;-7.375097214
976;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.11719298;-7.113146103
977;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Caída de Roca;-79.31429733;-7.281364757
978;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.22288239;-7.244938988
979;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-73.03333618;-13.69722568
980;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-73.15833315;-13.70472235
981;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-72.50000424;-13.50000132
982;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-73.73833565;-13.51305507
983;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-72.62647813;-13.55392527
984;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-72.65806038;-13.54575711
985;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-72.6726029;-12.68992241
986;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-72.58072335;-13.64066569
987;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-72.8188152;-13.52776554
988;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-72.80732405;-13.53406288
989;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-72.8101388;-13.53429538
990;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-72.79179632;-13.90097695
991;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-72.78126405;-13.87535459
992;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-76.54221778;-12.05972476
993;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-72.86028216;-13.7758533
994;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-72.91419984;-13.70507887
995;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-72.85871531;-13.61505185
996;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-72.83347433;-13.64849418
997;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-72.8260491;-13.66218269
998;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-72.8411613;-13.64859731
999;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-72.84123739;-13.65445363
1000;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.76411535;-7.218870977
1001;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Mov. Complejo;;-78.60375496;-7.249238769
1002;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.78024606;-7.064829881
1003;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.68216406;-7.244222271
1004;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.64295412;-7.282433946
1005;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.65065685;-7.315464317
1006;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.63203375;-7.379086853
1007;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión de Ladera;-78.60899417;-7.285419106
